case,case_label,fraction,scenario,cost,risk_months
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.6,19,1167439618.991661,30.23485396382095
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,0,1102553470.167482,26.390967235795237
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,1,1102553470.167482,30.394079466236732
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,2,1102553470.167482,27.669847771642154
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,3,1102553470.167482,24.086492745899378
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,4,1102553470.167482,31.165823238978163
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,5,1102553470.167482,28.088198911000696
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,6,1102703470.167482,29.72778013240426
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,7,1102563470.167482,25.399252237775436
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,8,1102833470.167482,23.26471027657709
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,9,1102553470.167482,20.701601885351533
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,10,1102553470.167482,28.030009658788003
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,11,1102573470.167482,26.571870689340166
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,12,1102553470.167482,21.470665202564497
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,13,1102553470.167482,26.006408010858767
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,14,1102563470.167482,25.740826751790777
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,15,1102553470.167482,30.86075897273369
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,16,1102553470.167482,26.23709387544936
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,17,1102553470.167482,30.932456860281658
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,18,1102573470.167482,23.642586991544178
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.4,19,1102553470.167482,27.334237910945305
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,0,1055245588.0123286,22.593803972385942
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,1,1055145588.0123286,28.46705704619891
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,2,1055145588.0123286,24.650070175965443
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,3,1055255588.0123286,21.536485968069215
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,4,1055145588.0123286,28.59886388396245
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,5,1055145588.0123286,25.35715704385156
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,6,1055355588.0123286,25.006533513253572
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,7,1055195588.0123286,22.513973125104748
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,8,1055515588.0123286,20.643284687976433
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,9,1055245588.0123286,16.972415404123097
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,10,1055145588.0123286,25.596485244150777
basetariff_baseline/3mpd_36vessels,baseline_3mpd_36vessels,0.2,11,1055245588.0123286,23.94997138900989
