case,case_label,fraction,scenario,cost,risk_months
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,12,1318773717.3419905,36.09503942978356
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,13,1318773717.3419905,41.250260382863566
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,14,1318773717.3419905,39.96167340931889
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,15,1318773717.3419905,43.09041498300101
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,16,1318773717.3419905,40.52862901325811
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,17,1318773717.3419905,43.02561545782834
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,18,1318773717.3419905,39.49658330087553
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.8,19,1318773717.3419905,41.16960636980409
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,0,1251531246.26678,37.47645982744925
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,1,1251531246.26678,40.06147441202771
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,2,1251531246.26678,39.28074247325012
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,3,1251531246.26678,34.84517528391055
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,4,1251531246.26678,41.04761913685557
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,5,1251531246.26678,38.41911320967476
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,6,1251601246.26678,40.382569067952865
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,7,1251531246.26678,36.57118658507949
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,8,1251641246.26678,34.87808372665182
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,9,1251531246.26678,33.948012779348346
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,10,1251531246.26678,38.737041139756414
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,11,1251531246.26678,36.911144709515106
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,12,1251531246.26678,31.646838725885885
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,13,1251531246.26678,37.2780558642448
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,14,1251531246.26678,36.38566723099633
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,15,1251531246.26678,40.57862201409251
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,16,1251531246.26678,37.53279362769244
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,17,1251531246.26678,40.96991364465278
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,18,1251531246.26678,35.674957592170216
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.6,19,1251531246.26678,38.57863199065234
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,0,1188746746.2728634,33.73547153238269
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,1,1188746746.2728634,37.68837549733024
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,2,1188746746.2728634,34.919924158095945
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,3,1188746746.2728634,30.960420409418784
basetariff_flexible/4mpd_36vessels,flexible_4mpd_36vessels,0.4,4,1188746746.2728634,38.66934129002204
